cell_number,execution_time
1,1.017650842666626
2,0.9800074100494384
3,25.974109172821045
4,9.455552816390991
7,8.185613870620728
8,0.1040050983428955
9,0.3039960861206054
9,0.4190046787261963
9,0.3799965381622314
9,0.3189976215362549
7,4.421594142913818
7,4.407852649688721
7,4.461061954498291
7,4.472326993942261
8,0.0460069179534912
9,0.3480021953582763
9,0.420006513595581
1,0.9379112720489502
2,0.984004020690918
3,20.118067264556885
4,5.1486124992370605
7,4.444033861160278
8,0.1149985790252685
9,0.3710005283355713
10,2.7760169506073
